ProdNbr_c,Commodity_c,FunctionDesignation_c,ProdName_c,ProdNetWeight_n,ProdNetWeightNbr_n,ManId_c,ManDesignation_c,MC_n,ManStatus_c,ROHSStatus_c,SolderingProcess_c,MaxSolderingTemp_n,ASGId_n,LeadTime_n,LeadTimewithForecast_n,SupplierManufacturingRisk_n,SupplierAggregatedRisk_n,CommercialAggregatedRisk_n,TechnicalAggregatedRisk_n,RecoveryTimeweeks_n,Rampuptimetofullproductionfromfirstdeliveryweeks_n,MRPVol_n,AvgPriceLatestYearUSD_n,Volume_n,target_c
66,6,246,5,1.0,1.0,62,85,1,1,1,0,0,18167.0,70.0,10.0,3.0,2.0,2.0,2.0,8.0,2.0,99.0,0.76874,1800.0,4
67,6,133,2,6544.0,1000.0,9,39,1,1,1,0,0,418.0,30.0,20.0,3.0,3.0,0,3.0,26.0,6.0,0,0,0,3
68,6,243,12,0,0,10,270,1,1,1,1,260.0,18167.0,0,0,3.0,2.0,0,2.0,4.0,2.0,0,0,0,4
69,6,397,12,0,0,26,7,1,1,1,0,0,18167.0,50.0,10.0,3.0,2.0,0,2.0,4.0,2.0,0,0,0,2
70,6,250,5,308001.0,100000.0,35,688,1,1,1,2,250.0,2296.0,40.0,30.0,4.0,1.0,1.0,1.0,4.0,4.0,14956.0,1.64998,5000.0,4
71,6,186,5,4323.0,1000.0,61,595,1,1,1,1,260.0,96.0,40.0,10.0,4.0,2.0,2.0,1.0,8.0,3.0,251550.0,0.48227,181997.0,2
71,6,186,5,4323.0,1000.0,61,593,6,1,1,1,260.0,96.0,0,0,0,0,0,0,0,0,251550.0,0.48227,181997.0,2
71,6,186,5,4323.0,1000.0,61,594,6,1,1,1,260.0,96.0,0,0,0,0,0,0,0,0,251550.0,0.48227,181997.0,2
71,6,186,5,4323.0,1000.0,44,678,1,1,1,1,260.0,12820.0,0,0,0,0,0,0,0,0,251550.0,0.48227,0,2
71,6,186,5,4323.0,1000.0,44,668,6,1,1,1,260.0,12820.0,0,0,0,0,0,0,0,0,251550.0,0.48227,0,2
71,6,186,5,4323.0,1000.0,44,675,6,1,1,0,0,12820.0,0,0,0,0,0,0,0,0,251550.0,0.48227,0,2
72,6,362,5,68.0,100.0,36,332,1,1,1,1,260.0,9422.0,0,0,0,0,0,0,0,0,5676570.0,0.24015999999999998,824768.0,1
72,6,362,5,68.0,100.0,36,333,1,1,1,2,260.0,9422.0,52.0,26.0,3.0,2.0,1.0,1.0,8.0,4.0,5676570.0,0.24015999999999998,824768.0,1
72,6,362,5,68.0,100.0,32,109,1,1,1,2,260.0,18167.0,40.0,10.0,3.0,2.0,1.0,1.0,8.0,2.0,5676570.0,0.24015999999999998,1924617.0,1
72,6,362,5,68.0,100.0,22,221,0,1,1,1,260.0,20668.0,0,0,0,0,0,0,0,0,5676570.0,0.24015999999999998,0,1
73,6,333,6,65103.0,10000.0,73,692,0,1,1,1,260.0,96.0,0,0,0,0,0,0,0,0,2281002.0,0.6852600000000001,0,1
73,6,333,6,65103.0,10000.0,36,351,0,1,0,0,0,9422.0,0,0,0,0,0,0,0,0,2281002.0,0.6852600000000001,0,1
73,6,333,6,65103.0,10000.0,32,166,0,1,1,1,260.0,18167.0,0,0,0,0,0,0,0,0,2281002.0,0.6852600000000001,1187078.0,1
73,6,333,6,65103.0,10000.0,32,165,1,1,1,1,260.0,18167.0,40.0,10.0,4.0,2.0,2.0,2.0,8.0,2.0,2281002.0,0.6852600000000001,1187078.0,1
73,6,333,6,65103.0,10000.0,32,164,4,1,1,1,260.0,18167.0,0,0,0,0,0,0,0,0,2281002.0,0.6852600000000001,1187078.0,1
74,6,334,5,5319003.0,1000000.0,36,346,1,1,1,1,260.0,9422.0,0,0,0,0,0,0,0,0,0,0.8286600000000001,7.0,2
74,6,334,5,5319003.0,1000000.0,36,350,1,1,1,0,0,9422.0,0,0,0,0,0,0,0,0,0,0.8286600000000001,7.0,2
75,6,335,5,65103.0,10000.0,73,692,1,1,1,1,260.0,96.0,0,0,0,0,0,0,0,0,207609.0,0.8588100000000001,12.0,2
75,6,335,5,65103.0,10000.0,32,164,1,1,1,1,260.0,18167.0,0,0,0,0,0,0,0,0,207609.0,0.8588100000000001,5.0,2
75,6,335,5,65103.0,10000.0,32,165,1,1,1,1,260.0,18167.0,0,0,0,0,0,0,0,0,207609.0,0.8588100000000001,5.0,2
76,6,373,5,602709529.0,10000000.0,64,723,1,1,1,0,0,96.0,0,0,0,0,0,0,0,0,33582.0,6.51339,0,4
76,6,373,5,602709529.0,10000000.0,36,363,1,1,1,0,0,9422.0,52.0,26.0,3.0,2.0,1.0,1.0,8.0,4.0,33582.0,6.51339,19684.0,1
76,6,373,5,602709529.0,10000000.0,32,145,1,1,1,0,0,18167.0,40.0,10.0,4.0,2.0,1.0,1.0,8.0,2.0,33582.0,6.51339,45929.0,1
77,6,372,5,282361.0,10000.0,64,729,1,1,1,0,0,96.0,40.0,10.0,4.0,2.0,2.0,1.0,8.0,3.0,13852.0,5.31361,22064.0,4
77,6,372,5,282361.0,10000.0,36,362,1,1,1,0,0,9422.0,0,0,0,0,0,0,0,0,13852.0,5.31361,0,4
78,6,140,5,106462.0,10000.0,1,91,1,1,1,1,265.0,18167.0,40.0,10.0,3.0,2.0,2.0,2.0,8.0,2.0,0,1.6993200000000002,1951.0,2
79,6,140,5,157727706.0,10000000.0,32,92,1,1,1,0,0,18167.0,63.0,10.0,3.0,2.0,2.0,2.0,4.0,2.0,13852.0,4.63267,22064.0,3
80,6,336,7,7270866.0,1000000.0,73,693,1,1,1,1,260.0,96.0,0,0,0,0,0,0,0,0,30288.0,1.37555,471.0,2
81,6,180,5,30081334.0,10000000.0,47,387,1,1,1,0,0,418.0,0,0,0,0,0,0,0,0,0,0,0,3
81,6,180,5,30081334.0,10000000.0,8,410,1,1,1,0,260.0,9422.0,0,0,0,0,0,0,0,0,0,0,0,3
81,6,180,5,30081334.0,10000000.0,44,738,4,1,1,1,245.0,12820.0,0,0,0,0,0,0,0,0,0,0,0,3
81,6,180,5,30081334.0,10000000.0,44,737,6,1,1,1,260.0,12820.0,0,0,0,0,0,0,0,0,0,0,0,3
81,6,180,5,30081334.0,10000000.0,32,15,1,1,1,0,0,18167.0,0,0,0,0,0,0,0,0,0,0,0,3
81,6,180,5,30081334.0,10000000.0,32,175,1,1,1,0,0,18167.0,50.0,10.0,3.0,2.0,0,1.0,8.0,2.0,0,0,0,3
82,6,136,5,5.0,1.0,24,291,1,1,1,0,0,18167.0,0,0,0,0,0,0,0,0,0,0,0,2
83,6,390,5,7.0,10.0,73,721,1,1,1,2,260.0,96.0,0,0,0,0,0,0,0,0,3979245.0,0.14017000000000002,0,2
83,6,390,5,7.0,10.0,36,330,1,1,1,1,260.0,9422.0,0,0,0,0,0,0,0,0,3979245.0,0.14017000000000002,0,2
83,6,390,5,7.0,10.0,32,55,1,1,1,1,260.0,18167.0,40.0,10.0,3.0,2.0,1.0,1.0,8.0,2.0,3979245.0,0.14017000000000002,3386772.0,2
83,6,390,5,7.0,10.0,22,219,1,1,0,0,0,20668.0,35.0,10.0,4.0,1.0,1.0,1.0,6.0,3.0,3979245.0,0.14017000000000002,1458499.0,2
84,6,391,5,19314.0,10000.0,32,304,1,1,1,0,0,18167.0,40.0,10.0,4.0,2.0,2.0,1.0,8.0,2.0,20061.0,0.21176999999999999,12348.0,4
85,6,369,5,24855.0,10000.0,32,303,1,1,1,1,260.0,18167.0,40.0,10.0,4.0,2.0,1.0,1.0,8.0,2.0,20061.0,0.22966999999999999,2552.0,4
86,6,370,5,44169.0,10000.0,36,327,0,1,0,0,0,9422.0,0,0,0,0,0,0,0,0,0,1.09588,0,2
86,6,370,5,44169.0,10000.0,32,117,1,1,1,1,260.0,18167.0,40.0,10.0,4.0,1.0,1.0,1.0,2.0,2.0,0,1.09588,1128.0,2
86,6,370,5,44169.0,10000.0,32,305,4,1,1,1,260.0,18167.0,0,0,0,0,0,0,0,0,0,1.09588,1128.0,2
87,6,380,6,507615.0,100000.0,73,690,1,1,1,1,260.0,96.0,40.0,10.0,4.0,2.0,1.0,1.0,8.0,3.0,2389593.0,0.54485,971711.0,4
87,6,380,6,507615.0,100000.0,73,691,4,1,1,0,0,96.0,0,0,0,0,0,0,0,0,2389593.0,0.54485,971711.0,4
87,6,380,6,507615.0,100000.0,36,338,1,1,1,1,260.0,9422.0,0,0,0,0,0,0,0,0,2389593.0,0.54485,0,4
